,Company_Name,Past_Rating,Present_Rating,Future_Rating,Overall_Rating,PastContribution,PresentContribution,FutureContribution,CIR,reduced_scope12_calc,5yr_Change,Transition_Invest,total_induced,induced_scope12,total_induced_n-5,induced_scope12_n-5,GICS4,marketCap_bin_no,marketCap_class,HQ_Region,HQ_SubRegion_ord,vol_bin_no,vol_class,gas_bin_no,gas_class
11,No_12,3,9,9,7.199999999999999,0.8999999999999999,3.6,2.6999999999999997,0.012362406230051949,-1750599.2010652467,-0.144070451663442,,141606671.7504955,20300000.0,168451857.16512102,27600000.0,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
12,No_13,11,1,12,7.299999999999999,3.3,0.4,3.5999999999999996,0.05288960269631812,0.0,0.4321535651263486,0.0,13586247.111906905,2530337.544031584,9486585.40727669,3598471.3847123,Gas Utilities,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Asia,g2: Eastern Asia,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,3,g2: 67%<=gas in the mix<100%
13,No_14,8,4,11,7.300000000000001,2.4,1.6,3.3,0.03038421945357303,-403637.6058553585,0.11957761189787308,,11661317.636522768,1633828.5952548746,10212396.58670225,1363420.0,Gas Utilities,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,2,g1: 33%<=gas in the mix<67%
14,No_15,8,8,6,7.4,2.4,3.2,1.7999999999999998,0.020938172687905356,-3377377.550240701,0.09534143590718225,0.03518228145825166,199703228.67005682,14900000.0,186240481.84011033,16600000.000000002,Integrated Oil & Gas,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Europe,g5: Northern Europe,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
15,No_16,8,3,13,7.5,2.4,1.2000000000000002,3.9,0.01797466061146567,-708613.0894673145,0.116269232099516,0.0,39422891.19024059,2039487.0,35647896.08336611,2048551.0,Oil & Gas Storage & Transportation,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,2,g1: 33%<=gas in the mix<67%
16,No_17,1,10,11,7.6,0.3,4.0,3.3,0.05261413232984807,-1704418.7711354343,-0.5022745872892052,0.0,32394695.030797172,4406037.263938848,62937134.11392933,6605179.0,Oil & Gas Exploration & Production,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,1,g1: 0%<gas in the mix<33%
17,No_18,12,1,12,7.6,3.5999999999999996,0.4,3.5999999999999996,0.0,0.0,0.6309272669632167,0.0,42167095.281908914,8330935.34,25854675.51868451,4922811.153937042,Oil & Gas Exploration & Production,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,4,g4: Only gas
18,No_19,10,3,12,7.8,3.0,1.2000000000000002,3.5999999999999996,0.0042294493194117416,-202373.70422535072,0.36187360415876824,,47848712.4308415,10886127.0,39666166.32023985,12390000.0,Oil & Gas Storage & Transportation,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,3,g2: 67%<=gas in the mix<100%
19,No_20,6,9,8,7.8,1.7999999999999998,3.6,2.4,0.02636714308514327,-176358.81832218243,-0.04108972827116342,0.09116279069767441,6656982.746818441,1548400.0,7109789.402539158,1780000.0,Integrated Oil & Gas,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Europe,g5: Southern Europe,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,2,g1: 33%<=gas in the mix<67%
20,No_21,15,1,10,7.9,4.5,0.4,3.0,0.007083235133977067,0.0,1.8068042629011867,0.0,14824560.867064621,1421901.0574711964,5130182.369113605,553622.0,Oil & Gas Storage & Transportation,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Oceania,g3: Australasia,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,4,g4: Only gas
